start date;end date;electric load [MW];temperature 1 [°C];temperature 2 [°C];radiation 1 [Wm-2];radiation 2 [Wm-2]
30.04.15 23:45;01.05.15 00:00;;9,54;9,1;0;0
01.05.15 00:00;01.05.15 00:15;;9,48;9,05;0;0
01.05.15 00:15;01.05.15 00:30;;9,43;9;0;0
01.05.15 00:30;01.05.15 00:45;;9,37;8,95;0;0
01.05.15 00:45;01.05.15 01:00;;9,31;8,9;0;0
01.05.15 01:00;01.05.15 01:15;;9,21;8,7;0;0
01.05.15 01:15;01.05.15 01:30;;9,1;8,5;0;0
01.05.15 01:30;01.05.15 01:45;;9;8,3;0;0
01.05.15 01:45;01.05.15 02:00;;8,89;8,1;0;0
01.05.15 02:00;01.05.15 02:15;;8,85;8,05;0;0
01.05.15 02:15;01.05.15 02:30;;8,82;8;0;0
01.05.15 02:30;01.05.15 02:45;;8,78;7,95;0;0
01.05.15 02:45;01.05.15 03:00;;8,74;7,9;0;0
01.05.15 03:00;01.05.15 03:15;;8,72;7,9;0;0
01.05.15 03:15;01.05.15 03:30;;8,7;7,9;0;0
01.05.15 03:30;01.05.15 03:45;;8,68;7,9;0;0
01.05.15 03:45;01.05.15 04:00;;8,66;7,9;0;0
01.05.15 04:00;01.05.15 04:15;;8,61;7,9;0;0
01.05.15 04:15;01.05.15 04:30;;8,56;7,9;0;0
01.05.15 04:30;01.05.15 04:45;;8,51;7,9;0;0
01.05.15 04:45;01.05.15 05:00;;8,46;7,9;0;0
01.05.15 05:00;01.05.15 05:15;;8,46;7,88;0;0
01.05.15 05:15;01.05.15 05:30;;8,46;7,85;0;0
01.05.15 05:30;01.05.15 05:45;;8,46;7,83;0;0
01.05.15 05:45;01.05.15 06:00;;8,46;7,8;0;0
01.05.15 06:00;01.05.15 06:15;;8,42;7,78;0,86;1,75
01.05.15 06:15;01.05.15 06:30;;8,38;7,75;1,72;3,5
01.05.15 06:30;01.05.15 06:45;;8,34;7,72;2,57;5,25
01.05.15 06:45;01.05.15 07:00;;8,3;7,7;3,43;7
01.05.15 07:00;01.05.15 07:15;;8,36;7,72;9,21;11,75
01.05.15 07:15;01.05.15 07:30;;8,42;7,75;15;16,5
01.05.15 07:30;01.05.15 07:45;;8,48;7,78;20,79;21,25
01.05.15 07:45;01.05.15 08:00;;8,54;7,8;26,57;26
01.05.15 08:00;01.05.15 08:15;;8,62;7,9;35,82;37
01.05.15 08:15;01.05.15 08:30;;8,7;8;45,07;48
01.05.15 08:30;01.05.15 08:45;;8,78;8,1;54,32;59
01.05.15 08:45;01.05.15 09:00;;8,86;8,2;63,57;70
01.05.15 09:00;01.05.15 09:15;;8,9;8,17;70,75;75,75
01.05.15 09:15;01.05.15 09:30;;8,95;8,15;77,93;81,5
01.05.15 09:30;01.05.15 09:45;;8,99;8,12;85,11;87,25
01.05.15 09:45;01.05.15 10:00;;9,04;8,1;92,29;93
01.05.15 10:00;01.05.15 10:15;;9,1;8,18;100,5;104,5
01.05.15 10:15;01.05.15 10:30;;9,16;8,25;108,72;116
01.05.15 10:30;01.05.15 10:45;;9,23;8,32;116,93;127,5
01.05.15 10:45;01.05.15 11:00;;9,29;8,4;125,14;139
01.05.15 11:00;01.05.15 11:15;;9,37;8,35;133;141,25
01.05.15 11:15;01.05.15 11:30;;9,45;8,3;140,85;143,5
01.05.15 11:30;01.05.15 11:45;;9,53;8,25;148,71;145,75
01.05.15 11:45;01.05.15 12:00;;9,61;8,2;156,57;148
01.05.15 12:00;01.05.15 12:15;;9,71;8,32;161,6;150,5
01.05.15 12:15;01.05.15 12:30;;9,82;8,45;166,64;153
01.05.15 12:30;01.05.15 12:45;;9,92;8,57;171,68;155,5
01.05.15 12:45;01.05.15 13:00;;10,03;8,7;176,71;158
01.05.15 13:00;01.05.15 13:15;;10,16;8,82;181,36;167
01.05.15 13:15;01.05.15 13:30;;10,29;8,95;186;176
01.05.15 13:30;01.05.15 13:45;;10,41;9,07;190,64;185
01.05.15 13:45;01.05.15 14:00;;10,54;9,2;195,29;194
01.05.15 14:00;01.05.15 14:15;;10,56;9,25;188,04;188
01.05.15 14:15;01.05.15 14:30;;10,59;9,3;180,79;182
01.05.15 14:30;01.05.15 14:45;;10,61;9,35;173,54;176
01.05.15 14:45;01.05.15 15:00;;10,63;9,4;166,29;170
01.05.15 15:00;01.05.15 15:15;;10,71;9,45;161,82;166
01.05.15 15:15;01.05.15 15:30;;10,79;9,5;157,36;162
01.05.15 15:30;01.05.15 15:45;;10,86;9,55;152,9;158
01.05.15 15:45;01.05.15 16:00;;10,94;9,6;148,43;154
01.05.15 16:00;01.05.15 16:15;;10,95;9,47;142,4;136,25
01.05.15 16:15;01.05.15 16:30;;10,95;9,35;136,36;118,5
01.05.15 16:30;01.05.15 16:45;;10,96;9,22;130,33;100,75
01.05.15 16:45;01.05.15 17:00;;10,96;9,1;124,29;83
01.05.15 17:00;01.05.15 17:15;;10,85;9,15;108,47;81,75
01.05.15 17:15;01.05.15 17:30;;10,75;9,2;92,65;80,5
01.05.15 17:30;01.05.15 17:45;;10,64;9,25;76,82;79,25
01.05.15 17:45;01.05.15 18:00;;10,53;9,3;61;78
01.05.15 18:00;01.05.15 18:15;;10,46;9,28;52,64;68,75
01.05.15 18:15;01.05.15 18:30;;10,38;9,25;44,28;59,5
01.05.15 18:30;01.05.15 18:45;;10,31;9,22;35,93;50,25
01.05.15 18:45;01.05.15 19:00;;10,24;9,2;27,57;41
01.05.15 19:00;01.05.15 19:15;;10,16;9,15;22,82;33,75
01.05.15 19:15;01.05.15 19:30;;10,07;9,1;18,07;26,5
01.05.15 19:30;01.05.15 19:45;;9,99;9,05;13,32;19,25
01.05.15 19:45;01.05.15 20:00;;9,91;9;8,57;12
01.05.15 20:00;01.05.15 20:15;;9,86;8,97;6,61;9,5
01.05.15 20:15;01.05.15 20:30;;9,8;8,95;4,64;7
01.05.15 20:30;01.05.15 20:45;;9,74;8,93;2,67;4,5
01.05.15 20:45;01.05.15 21:00;;9,69;8,9;0,71;2
01.05.15 21:00;01.05.15 21:15;;9,63;8,85;0,53;1,5
01.05.15 21:15;01.05.15 21:30;;9,57;8,8;0,35;1
01.05.15 21:30;01.05.15 21:45;;9,52;8,75;0,18;0,5
01.05.15 21:45;01.05.15 22:00;;9,46;8,7;0;0
01.05.15 22:00;01.05.15 22:15;;9,44;8,65;0;0
01.05.15 22:15;01.05.15 22:30;;9,41;8,6;0;0
01.05.15 22:30;01.05.15 22:45;;9,39;8,55;0;0
01.05.15 22:45;01.05.15 23:00;;9,37;8,5;0;0
01.05.15 23:00;01.05.15 23:15;;9,34;8,43;0;0
01.05.15 23:15;01.05.15 23:30;;9,31;8,35;0;0
01.05.15 23:30;01.05.15 23:45;;9,29;8,27;0;0
01.05.15 23:45;02.05.15 00:00;;9,26;8,2;0;0
02.05.15 00:00;02.05.15 00:15;;9,25;8,2;0;0
02.05.15 00:15;02.05.15 00:30;;9,23;8,2;0;0
02.05.15 00:30;02.05.15 00:45;;9,22;8,2;0;0
02.05.15 00:45;02.05.15 01:00;;9,21;8,2;0;0
02.05.15 01:00;02.05.15 01:15;;9,18;8,15;0;0
02.05.15 01:15;02.05.15 01:30;;9,16;8,1;0;0
02.05.15 01:30;02.05.15 01:45;;9,13;8,05;0;0
02.05.15 01:45;02.05.15 02:00;;9,1;8;0;0
02.05.15 02:00;02.05.15 02:15;;9,07;8;0;0
02.05.15 02:15;02.05.15 02:30;;9,05;8;0;0
