start date;end date;electric load [MW];temperature [°C];radiation [Wm-2]
30.04.15 23:45;01.05.15 00:00;;9,54;0
01.05.15 00:00;01.05.15 00:15;;9,48;0
01.05.15 00:15;01.05.15 00:30;;9,43;0
01.05.15 00:30;01.05.15 00:45;;9,37;0
01.05.15 00:45;01.05.15 01:00;;9,31;0
01.05.15 01:00;01.05.15 01:15;;9,21;0
01.05.15 01:15;01.05.15 01:30;;9,1;0
01.05.15 01:30;01.05.15 01:45;;9;0
01.05.15 01:45;01.05.15 02:00;;8,89;0
01.05.15 02:00;01.05.15 02:15;;8,85;0
01.05.15 02:15;01.05.15 02:30;;8,82;0
01.05.15 02:30;01.05.15 02:45;;8,78;0
01.05.15 02:45;01.05.15 03:00;;8,74;0
01.05.15 03:00;01.05.15 03:15;;8,72;0
01.05.15 03:15;01.05.15 03:30;;8,7;0
01.05.15 03:30;01.05.15 03:45;;8,68;0
01.05.15 03:45;01.05.15 04:00;;8,66;0
01.05.15 04:00;01.05.15 04:15;;8,61;0
01.05.15 04:15;01.05.15 04:30;;8,56;0
01.05.15 04:30;01.05.15 04:45;;8,51;0
01.05.15 04:45;01.05.15 05:00;;8,46;0
01.05.15 05:00;01.05.15 05:15;;8,46;0
01.05.15 05:15;01.05.15 05:30;;8,46;0
01.05.15 05:30;01.05.15 05:45;;8,46;0
01.05.15 05:45;01.05.15 06:00;;8,46;0
01.05.15 06:00;01.05.15 06:15;;8,42;0,86
01.05.15 06:15;01.05.15 06:30;;8,38;1,72
01.05.15 06:30;01.05.15 06:45;;8,34;2,57
01.05.15 06:45;01.05.15 07:00;;8,3;3,43
01.05.15 07:00;01.05.15 07:15;;8,36;9,21
01.05.15 07:15;01.05.15 07:30;;8,42;15
01.05.15 07:30;01.05.15 07:45;;8,48;20,79
01.05.15 07:45;01.05.15 08:00;;8,54;26,57
01.05.15 08:00;01.05.15 08:15;;8,62;35,82
01.05.15 08:15;01.05.15 08:30;;8,7;45,07
01.05.15 08:30;01.05.15 08:45;;8,78;54,32
01.05.15 08:45;01.05.15 09:00;;8,86;63,57
01.05.15 09:00;01.05.15 09:15;;8,9;70,75
01.05.15 09:15;01.05.15 09:30;;8,95;77,93
01.05.15 09:30;01.05.15 09:45;;8,99;85,11
01.05.15 09:45;01.05.15 10:00;;9,04;92,29
01.05.15 10:00;01.05.15 10:15;;9,1;100,5
01.05.15 10:15;01.05.15 10:30;;9,16;108,72
01.05.15 10:30;01.05.15 10:45;;9,23;116,93
01.05.15 10:45;01.05.15 11:00;;9,29;125,14
01.05.15 11:00;01.05.15 11:15;;9,37;133
01.05.15 11:15;01.05.15 11:30;;9,45;140,85
01.05.15 11:30;01.05.15 11:45;;9,53;148,71
01.05.15 11:45;01.05.15 12:00;;9,61;156,57
01.05.15 12:00;01.05.15 12:15;;9,71;161,6
01.05.15 12:15;01.05.15 12:30;;9,82;166,64
01.05.15 12:30;01.05.15 12:45;;9,92;171,68
01.05.15 12:45;01.05.15 13:00;;10,03;176,71
01.05.15 13:00;01.05.15 13:15;;10,16;181,36
01.05.15 13:15;01.05.15 13:30;;10,29;186
01.05.15 13:30;01.05.15 13:45;;10,41;190,64
01.05.15 13:45;01.05.15 14:00;;10,54;195,29
01.05.15 14:00;01.05.15 14:15;;10,56;188,04
01.05.15 14:15;01.05.15 14:30;;10,59;180,79
01.05.15 14:30;01.05.15 14:45;;10,61;173,54
01.05.15 14:45;01.05.15 15:00;;10,63;166,29
01.05.15 15:00;01.05.15 15:15;;10,71;161,82
01.05.15 15:15;01.05.15 15:30;;10,79;157,36
01.05.15 15:30;01.05.15 15:45;;10,86;152,9
01.05.15 15:45;01.05.15 16:00;;10,94;148,43
01.05.15 16:00;01.05.15 16:15;;10,95;142,4
01.05.15 16:15;01.05.15 16:30;;10,95;136,36
01.05.15 16:30;01.05.15 16:45;;10,96;130,33
01.05.15 16:45;01.05.15 17:00;;10,96;124,29
01.05.15 17:00;01.05.15 17:15;;10,85;108,47
01.05.15 17:15;01.05.15 17:30;;10,75;92,65
01.05.15 17:30;01.05.15 17:45;;10,64;76,82
01.05.15 17:45;01.05.15 18:00;;10,53;61
01.05.15 18:00;01.05.15 18:15;;10,46;52,64
01.05.15 18:15;01.05.15 18:30;;10,38;44,28
01.05.15 18:30;01.05.15 18:45;;10,31;35,93
01.05.15 18:45;01.05.15 19:00;;10,24;27,57
01.05.15 19:00;01.05.15 19:15;;10,16;22,82
01.05.15 19:15;01.05.15 19:30;;10,07;18,07
01.05.15 19:30;01.05.15 19:45;;9,99;13,32
01.05.15 19:45;01.05.15 20:00;;9,91;8,57
01.05.15 20:00;01.05.15 20:15;;9,86;6,61
01.05.15 20:15;01.05.15 20:30;;9,8;4,64
01.05.15 20:30;01.05.15 20:45;;9,74;2,67
01.05.15 20:45;01.05.15 21:00;;9,69;0,71
01.05.15 21:00;01.05.15 21:15;;9,63;0,53
01.05.15 21:15;01.05.15 21:30;;9,57;0,35
01.05.15 21:30;01.05.15 21:45;;9,52;0,18
01.05.15 21:45;01.05.15 22:00;;9,46;0
01.05.15 22:00;01.05.15 22:15;;9,44;0
01.05.15 22:15;01.05.15 22:30;;9,41;0
01.05.15 22:30;01.05.15 22:45;;9,39;0
01.05.15 22:45;01.05.15 23:00;;9,37;0
01.05.15 23:00;01.05.15 23:15;;9,34;0
01.05.15 23:15;01.05.15 23:30;;9,31;0
01.05.15 23:30;01.05.15 23:45;;9,29;0
01.05.15 23:45;02.05.15 00:00;;9,26;0
02.05.15 00:00;02.05.15 00:15;;9,25;0
02.05.15 00:15;02.05.15 00:30;;9,23;0
02.05.15 00:30;02.05.15 00:45;;9,22;0
02.05.15 00:45;02.05.15 01:00;;9,21;0
02.05.15 01:00;02.05.15 01:15;;9,18;0
02.05.15 01:15;02.05.15 01:30;;9,16;0
02.05.15 01:30;02.05.15 01:45;;9,13;0
02.05.15 01:45;02.05.15 02:00;;9,1;0
02.05.15 02:00;02.05.15 02:15;;9,07;0
02.05.15 02:15;02.05.15 02:30;;9,05;0
02.05.15 02:30;02.05.15 02:45;;9,03;0
02.05.15 02:45;02.05.15 03:00;;9;0
02.05.15 03:00;02.05.15 03:15;;8,96;0
02.05.15 03:15;02.05.15 03:30;;8,91;0
02.05.15 03:30;02.05.15 03:45;;8,87;0
02.05.15 03:45;02.05.15 04:00;;8,83;0
02.05.15 04:00;02.05.15 04:15;;8,81;0
02.05.15 04:15;02.05.15 04:30;;8,79;0
02.05.15 04:30;02.05.15 04:45;;8,76;0
02.05.15 04:45;02.05.15 05:00;;8,74;0
02.05.15 05:00;02.05.15 05:15;;8,71;0
02.05.15 05:15;02.05.15 05:30;;8,69;0
02.05.15 05:30;02.05.15 05:45;;8,66;0
02.05.15 05:45;02.05.15 06:00;;8,63;0
02.05.15 06:00;02.05.15 06:15;;8,64;3,68
02.05.15 06:15;02.05.15 06:30;;8,64;7,36
02.05.15 06:30;02.05.15 06:45;;8,65;11,03
02.05.15 06:45;02.05.15 07:00;;8,66;14,71
02.05.15 07:00;02.05.15 07:15;;8,86;30,89
02.05.15 07:15;02.05.15 07:30;;9,05;47,07
02.05.15 07:30;02.05.15 07:45;;9,24;63,25
02.05.15 07:45;02.05.15 08:00;;9,44;79,43
02.05.15 08:00;02.05.15 08:15;;9,58;97,54
02.05.15 08:15;02.05.15 08:30;;9,71;115,65
02.05.15 08:30;02.05.15 08:45;;9,85;133,75
02.05.15 08:45;02.05.15 09:00;;9,99;151,86
02.05.15 09:00;02.05.15 09:15;;10,28;177,32
02.05.15 09:15;02.05.15 09:30;;10,56;202,79
02.05.15 09:30;02.05.15 09:45;;10,85;228,25
02.05.15 09:45;02.05.15 10:00;;11,13;253,71
02.05.15 10:00;02.05.15 10:15;;11,41;279,11
02.05.15 10:15;02.05.15 10:30;;11,68;304,5
02.05.15 10:30;02.05.15 10:45;;11,96;329,89
02.05.15 10:45;02.05.15 11:00;;12,23;355,29
02.05.15 11:00;02.05.15 11:15;;12,5;372,14
02.05.15 11:15;02.05.15 11:30;;12,77;389
02.05.15 11:30;02.05.15 11:45;;13,04;405,86
02.05.15 11:45;02.05.15 12:00;;13,31;422,71
02.05.15 12:00;02.05.15 12:15;;13,56;432,53
02.05.15 12:15;02.05.15 12:30;;13,8;442,36
02.05.15 12:30;02.05.15 12:45;;14,05;452,18
02.05.15 12:45;02.05.15 13:00;;14,3;462
02.05.15 13:00;02.05.15 13:15;;14,42;466,25
02.05.15 13:15;02.05.15 13:30;;14,54;470,5
02.05.15 13:30;02.05.15 13:45;;14,67;474,75
02.05.15 13:45;02.05.15 14:00;;14,79;479
02.05.15 14:00;02.05.15 14:15;;14,92;462,39
02.05.15 14:15;02.05.15 14:30;;15,04;445,78
02.05.15 14:30;02.05.15 14:45;;15,17;429,18
02.05.15 14:45;02.05.15 15:00;;15,3;412,57
02.05.15 15:00;02.05.15 15:15;;15,32;387,64
02.05.15 15:15;02.05.15 15:30;;15,33;362,72
02.05.15 15:30;02.05.15 15:45;;15,34;337,79
02.05.15 15:45;02.05.15 16:00;;15,36;312,86
02.05.15 16:00;02.05.15 16:15;;15,33;292,39
02.05.15 16:15;02.05.15 16:30;;15,3;271,93
02.05.15 16:30;02.05.15 16:45;;15,27;251,47
02.05.15 16:45;02.05.15 17:00;;15,24;231
02.05.15 17:00;02.05.15 17:15;;15,2;218,03
02.05.15 17:15;02.05.15 17:30;;15,16;205,07
02.05.15 17:30;02.05.15 17:45;;15,11;192,1
02.05.15 17:45;02.05.15 18:00;;15,07;179,14
02.05.15 18:00;02.05.15 18:15;;15,01;163,93
02.05.15 18:15;02.05.15 18:30;;14,95;148,72
02.05.15 18:30;02.05.15 18:45;;14,89;133,5
02.05.15 18:45;02.05.15 19:00;;14,83;118,29
02.05.15 19:00;02.05.15 19:15;;14,7;98,65
02.05.15 19:15;02.05.15 19:30;;14,57;79
02.05.15 19:30;02.05.15 19:45;;14,43;59,35
02.05.15 19:45;02.05.15 20:00;;14,3;39,71
02.05.15 20:00;02.05.15 20:15;;14,04;30,28
02.05.15 20:15;02.05.15 20:30;;13,79;20,86
02.05.15 20:30;02.05.15 20:45;;13,53;11,43
02.05.15 20:45;02.05.15 21:00;;13,27;2
02.05.15 21:00;02.05.15 21:15;;13,2;1,5
02.05.15 21:15;02.05.15 21:30;;13,12;1
02.05.15 21:30;02.05.15 21:45;;13,04;0,5
02.05.15 21:45;02.05.15 22:00;;12,97;0
02.05.15 22:00;02.05.15 22:15;;12,91;0
02.05.15 22:15;02.05.15 22:30;;12,86;0
02.05.15 22:30;02.05.15 22:45;;12,8;0
02.05.15 22:45;02.05.15 23:00;;12,74;0
02.05.15 23:00;02.05.15 23:15;;12,56;0
02.05.15 23:15;02.05.15 23:30;;12,39;0
02.05.15 23:30;02.05.15 23:45;;12,21;0
02.05.15 23:45;03.05.15 00:00;;12,04;0
03.05.15 00:00;03.05.15 00:15;;11,98;0
03.05.15 00:15;03.05.15 00:30;;11,91;0
03.05.15 00:30;03.05.15 00:45;;11,85;0
03.05.15 00:45;03.05.15 01:00;;11,79;0
03.05.15 01:00;03.05.15 01:15;;11,7;0
03.05.15 01:15;03.05.15 01:30;;11,61;0
03.05.15 01:30;03.05.15 01:45;;11,53;0
03.05.15 01:45;03.05.15 02:00;;11,44;0
03.05.15 02:00;03.05.15 02:15;;11,41;0
03.05.15 02:15;03.05.15 02:30;;11,38;0
03.05.15 02:30;03.05.15 02:45;;11,34;0
03.05.15 02:45;03.05.15 03:00;;11,31;0
03.05.15 03:00;03.05.15 03:15;;11,36;0
03.05.15 03:15;03.05.15 03:30;;11,41;0
03.05.15 03:30;03.05.15 03:45;;11,46;0
03.05.15 03:45;03.05.15 04:00;;11,51;0
03.05.15 04:00;03.05.15 04:15;;11,59;0
03.05.15 04:15;03.05.15 04:30;;11,67;0
03.05.15 04:30;03.05.15 04:45;;11,75;0
03.05.15 04:45;03.05.15 05:00;;11,83;0
03.05.15 05:00;03.05.15 05:15;;11,86;0
03.05.15 05:15;03.05.15 05:30;;11,88;0
03.05.15 05:30;03.05.15 05:45;;11,9;0
03.05.15 05:45;03.05.15 06:00;;11,93;0
03.05.15 06:00;03.05.15 06:15;;11,96;1,32
03.05.15 06:15;03.05.15 06:30;;12;2,65
03.05.15 06:30;03.05.15 06:45;;12,04;3,97
03.05.15 06:45;03.05.15 07:00;;12,07;5,29
03.05.15 07:00;03.05.15 07:15;;12,16;12,64
03.05.15 07:15;03.05.15 07:30;;12,25;20
03.05.15 07:30;03.05.15 07:45;;12,34;27,36
03.05.15 07:45;03.05.15 08:00;;12,43;34,71
03.05.15 08:00;03.05.15 08:15;;12,58;44,32
03.05.15 08:15;03.05.15 08:30;;12,73;53,92
03.05.15 08:30;03.05.15 08:45;;12,89;63,53
03.05.15 08:45;03.05.15 09:00;;13,04;73,14
03.05.15 09:00;03.05.15 09:15;;13,22;84,96
03.05.15 09:15;03.05.15 09:30;;13,4;96,78
03.05.15 09:30;03.05.15 09:45;;13,58;108,61
03.05.15 09:45;03.05.15 10:00;;13,76;120,43
03.05.15 10:00;03.05.15 10:15;;14,01;135,07
03.05.15 10:15;03.05.15 10:30;;14,26;149,72
03.05.15 10:30;03.05.15 10:45;;14,51;164,36
03.05.15 10:45;03.05.15 11:00;;14,76;179
03.05.15 11:00;03.05.15 11:15;;15,02;193,78
03.05.15 11:15;03.05.15 11:30;;15,29;208,57
03.05.15 11:30;03.05.15 11:45;;15,55;223,35
03.05.15 11:45;03.05.15 12:00;;15,81;238,14
03.05.15 12:00;03.05.15 12:15;;15,85;235,32
03.05.15 12:15;03.05.15 12:30;;15,89;232,5
03.05.15 12:30;03.05.15 12:45;;15,93;229,68
03.05.15 12:45;03.05.15 13:00;;15,97;226,86
03.05.15 13:00;03.05.15 13:15;;16,09;232,18
03.05.15 13:15;03.05.15 13:30;;16,22;237,5
03.05.15 13:30;03.05.15 13:45;;16,34;242,82
03.05.15 13:45;03.05.15 14:00;;16,47;248,14
03.05.15 14:00;03.05.15 14:15;;16,52;240,32
03.05.15 14:15;03.05.15 14:30;;16,58;232,5
03.05.15 14:30;03.05.15 14:45;;16,64;224,68
03.05.15 14:45;03.05.15 15:00;;16,69;216,86
03.05.15 15:00;03.05.15 15:15;;16,71;209,04
03.05.15 15:15;03.05.15 15:30;;16,74;201,22
03.05.15 15:30;03.05.15 15:45;;16,77;193,39
03.05.15 15:45;03.05.15 16:00;;16,79;185,57
03.05.15 16:00;03.05.15 16:15;;16,87;177,1
03.05.15 16:15;03.05.15 16:30;;16,95;168,64
03.05.15 16:30;03.05.15 16:45;;17,03;160,18
03.05.15 16:45;03.05.15 17:00;;17,11;151,71
03.05.15 17:00;03.05.15 17:15;;17,09;135,82
03.05.15 17:15;03.05.15 17:30;;17,07;119,93
03.05.15 17:30;03.05.15 17:45;;17,06;104,03
