,t1,r1,dayofweek,startDate_year,startDate_month,startDate_day,startDate_hour,startDate_minute,holiday,schoolHoliday,daylight_phase,day_of_week,avg_r1_month,r1_diff_prev_month,avg_t1_day,t1_diff_prev_day,avg_r1_day,r1_diff_prev_day,t11,t12,t13,t14,t15,t16,t17,t1-8,t1-7,t1-6,t1-5,t1-4,t1-3,t1-2,t1-1,predicted_load
7,9.0,0.0,4,2015,5,1,1,30,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,9.1,9.21,9.31,9.37,9.43,9.48,9.54,8.68,8.7,8.72,8.74,8.78,8.82,8.85,8.89,62.12676
8,8.89,0.0,4,2015,5,1,1,45,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,9.0,9.1,9.21,9.31,9.37,9.43,9.48,8.66,8.68,8.7,8.72,8.74,8.78,8.82,8.85,61.91725
9,8.85,0.0,4,2015,5,1,2,0,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.89,9.0,9.1,9.21,9.31,9.37,9.43,8.61,8.66,8.68,8.7,8.72,8.74,8.78,8.82,60.91216
10,8.82,0.0,4,2015,5,1,2,15,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.85,8.89,9.0,9.1,9.21,9.31,9.37,8.56,8.61,8.66,8.68,8.7,8.72,8.74,8.78,60.678474
11,8.78,0.0,4,2015,5,1,2,30,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.82,8.85,8.89,9.0,9.1,9.21,9.31,8.51,8.56,8.61,8.66,8.68,8.7,8.72,8.74,60.636993
12,8.74,0.0,4,2015,5,1,2,45,1,0,4,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.78,8.82,8.85,8.89,9.0,9.1,9.21,8.46,8.51,8.56,8.61,8.66,8.68,8.7,8.72,60.55763
13,8.72,0.0,4,2015,5,1,3,0,1,0,0,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.74,8.78,8.82,8.85,8.89,9.0,9.1,8.46,8.46,8.51,8.56,8.61,8.66,8.68,8.7,60.031357
14,8.7,0.0,4,2015,5,1,3,15,1,0,0,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.72,8.74,8.78,8.82,8.85,8.89,9.0,8.46,8.46,8.46,8.51,8.56,8.61,8.66,8.68,59.798603
15,8.68,0.0,4,2015,5,1,3,30,1,0,0,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.7,8.72,8.74,8.78,8.82,8.85,8.89,8.46,8.46,8.46,8.46,8.51,8.56,8.61,8.66,60.01184
16,8.66,0.0,4,2015,5,1,3,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.68,8.7,8.72,8.74,8.78,8.82,8.85,8.46,8.46,8.46,8.46,8.46,8.51,8.56,8.61,60.095608
17,8.61,0.0,4,2015,5,1,4,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.66,8.68,8.7,8.72,8.74,8.78,8.82,8.42,8.46,8.46,8.46,8.46,8.46,8.51,8.56,61.696445
18,8.56,0.0,4,2015,5,1,4,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.61,8.66,8.68,8.7,8.72,8.74,8.78,8.38,8.42,8.46,8.46,8.46,8.46,8.46,8.51,61.647366
19,8.51,0.0,4,2015,5,1,4,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.56,8.61,8.66,8.68,8.7,8.72,8.74,8.34,8.38,8.42,8.46,8.46,8.46,8.46,8.46,61.752567
20,8.46,0.0,4,2015,5,1,4,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.51,8.56,8.61,8.66,8.68,8.7,8.72,8.3,8.34,8.38,8.42,8.46,8.46,8.46,8.46,61.79709
21,8.46,0.0,4,2015,5,1,5,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.46,8.51,8.56,8.61,8.66,8.68,8.7,8.36,8.3,8.34,8.38,8.42,8.46,8.46,8.46,60.469482
22,8.46,0.0,4,2015,5,1,5,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.46,8.46,8.51,8.56,8.61,8.66,8.68,8.42,8.36,8.3,8.34,8.38,8.42,8.46,8.46,60.286686
23,8.46,0.0,4,2015,5,1,5,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.46,8.46,8.46,8.51,8.56,8.61,8.66,8.48,8.42,8.36,8.3,8.34,8.38,8.42,8.46,60.14105
24,8.46,0.0,4,2015,5,1,5,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.46,8.46,8.46,8.46,8.51,8.56,8.61,8.54,8.48,8.42,8.36,8.3,8.34,8.38,8.42,60.521336
25,8.42,0.86,4,2015,5,1,6,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.46,8.46,8.46,8.46,8.46,8.51,8.56,8.62,8.54,8.48,8.42,8.36,8.3,8.34,8.38,54.63377
26,8.38,1.72,4,2015,5,1,6,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.42,8.46,8.46,8.46,8.46,8.46,8.51,8.7,8.62,8.54,8.48,8.42,8.36,8.3,8.34,55.220936
27,8.34,2.57,4,2015,5,1,6,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.38,8.42,8.46,8.46,8.46,8.46,8.46,8.78,8.7,8.62,8.54,8.48,8.42,8.36,8.3,55.51868
28,8.3,3.43,4,2015,5,1,6,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.34,8.38,8.42,8.46,8.46,8.46,8.46,8.86,8.78,8.7,8.62,8.54,8.48,8.42,8.36,56.78024
29,8.36,9.21,4,2015,5,1,7,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.3,8.34,8.38,8.42,8.46,8.46,8.46,8.9,8.86,8.78,8.7,8.62,8.54,8.48,8.42,59.567924
30,8.42,15.0,4,2015,5,1,7,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.36,8.3,8.34,8.38,8.42,8.46,8.46,8.95,8.9,8.86,8.78,8.7,8.62,8.54,8.48,59.9869
31,8.48,20.79,4,2015,5,1,7,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.42,8.36,8.3,8.34,8.38,8.42,8.46,8.99,8.95,8.9,8.86,8.78,8.7,8.62,8.54,60.546837
32,8.54,26.57,4,2015,5,1,7,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.48,8.42,8.36,8.3,8.34,8.38,8.42,9.04,8.99,8.95,8.9,8.86,8.78,8.7,8.62,61.652237
33,8.62,35.82,4,2015,5,1,8,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.54,8.48,8.42,8.36,8.3,8.34,8.38,9.1,9.04,8.99,8.95,8.9,8.86,8.78,8.7,69.720604
34,8.7,45.07,4,2015,5,1,8,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.62,8.54,8.48,8.42,8.36,8.3,8.34,9.16,9.1,9.04,8.99,8.95,8.9,8.86,8.78,69.98483
35,8.78,54.32,4,2015,5,1,8,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.7,8.62,8.54,8.48,8.42,8.36,8.3,9.23,9.16,9.1,9.04,8.99,8.95,8.9,8.86,71.08115
36,8.86,63.57,4,2015,5,1,8,45,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.78,8.7,8.62,8.54,8.48,8.42,8.36,9.29,9.23,9.16,9.1,9.04,8.99,8.95,8.9,72.61537
37,8.9,70.75,4,2015,5,1,9,0,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.86,8.78,8.7,8.62,8.54,8.48,8.42,9.37,9.29,9.23,9.16,9.1,9.04,8.99,8.95,79.19966
38,8.95,77.93,4,2015,5,1,9,15,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.9,8.86,8.78,8.7,8.62,8.54,8.48,9.45,9.37,9.29,9.23,9.16,9.1,9.04,8.99,79.8775
39,8.99,85.11,4,2015,5,1,9,30,1,0,1,4,207.50718413978495,0.0,9.492708333333333,0.0,57.351354166666674,0.0,8.95,8.9,8.86,8.78,8.7,8.62,8.54,9.53,9.45,9.37,9.29,9.23,9.16,9.1,9.04,81.22747
